pid,mu,sigma
359.0,1204.8556922041917,227.12138115530277
360.0,903.70463240491449,303.08046804316075
361.0,942.40898044154892,143.72610747287496
362.0,1508.0253619974599,100.66892590634684
363.0,706.0103114700795,328.74925755962181
364.0,808.96810664902341,275.81289737158414
365.0,1847.1709906010954,173.35225282218417
366.0,1209.0129739715339,220.77111438306738
367.0,649.8283484772644,110.74284532115526
368.0,1053.8747569671193,94.510198392069881
369.0,1035.5181420377969,357.50231890107256
370.0,1055.0265543170794,261.97823433128912
371.0,1196.8551510438901,388.73791817542792
372.0,1710.9098757960164,196.19071753266499
373.0,1240.2832687999908,430.02370744523364
374.0,1081.1994125414744,332.21072009282136
375.0,771.37808723429703,295.3965048279191
376.0,798.08191335308436,335.44804882628182
377.0,1759.7167312000092,430.02370744523364
378.0,1402.4547138726596,372.01406505221377
379.0,877.58798210653561,363.71124430373044
380.0,1111.4257327787598,107.36825868974969
381.0,1325.8049605351428,321.59491285597636
382.0,800.20866178797439,275.45932511866079
383.0,902.05147774994725,306.31053140423904
384.0,2003.4319661255715,88.867181374983289
385.0,1084.190850881728,109.00668433919634
386.0,1138.3484344867529,218.93643079951474
387.0,1199.8434110619578,193.24175989451012
388.0,1762.0111729724806,91.854591084150741
389.0,928.95837071037988,163.74092889768991
390.0,1182.2937479963496,380.38320650332315
391.0,1139.0966873317311,111.0753656095232
392.0,2086.8979743970613,93.518549003441677
393.0,1122.0838695554858,338.54666972865408
394.0,1097.4504264139298,384.92987569133584
395.0,1397.5443012088333,439.7990291025738
396.0,1540.8299306702306,102.7350017441312
397.0,645.91517391738716,325.39823998250358
398.0,1265.3718136166103,220.12586175687304
399.0,1288.8239041580023,93.644385833720762
400.0,1163.1463124063921,256.78044237843176
401.0,1259.8409723217287,397.12795442155789
402.0,1500.0,500.0
403.0,692.89260003667664,307.50652388165236
404.0,1093.7098775985253,209.24503749439648
405.0,1229.3210571795246,391.23893556258247
406.0,1581.3590939299052,91.153579929575812
407.0,1058.7240449156818,135.73224362175782
408.0,1676.8224766733533,95.841974503953779
409.0,1361.3203122820969,119.97519469708011
410.0,1391.9989289222424,129.83875982273099
411.0,1023.5800626126825,356.03923097599386
412.0,1560.6991335364401,247.96713681769043
413.0,986.76483694869626,356.50969311018883
414.0,1279.3129119228013,402.07840392375192
415.0,968.45567919903738,236.65282852548407
416.0,1525.6907092196261,113.92509307742347
417.0,591.57903416254749,328.77468125327488
418.0,1025.348739573192,323.45111485078013
419.0,1766.5463860973719,274.4356751302841
420.0,1232.6180968612248,390.89164312819531
421.0,1087.1218478533383,367.47619104049937
422.0,1360.6715327964782,93.410313208058213
423.0,1334.6584250228027,223.14957517360122
424.0,948.17466138178418,210.51384204818055
425.0,1069.3759672109284,362.29906999632004
426.0,880.88305316734477,291.47358288626867
427.0,902.0556017756262,353.72925849488416
428.0,1506.5447163162926,190.97896047288319
429.0,1263.2172527846881,220.05863933605474
430.0,612.73957709470744,213.24300555841984
431.0,1451.0684626961609,202.7959797868638
432.0,1417.3058147961065,129.51313223230977
433.0,855.36098174977315,246.85241667864679
434.0,1102.9968447716867,249.12877113639775
435.0,1249.1411779619623,256.59981567831517
436.0,1240.2832687999908,430.02370744523364
437.0,1694.2055023771147,121.33854238952856
438.0,1852.307537985592,91.331659493663651
439.0,1572.8001210851878,92.032993703750023
440.0,2018.6571885701794,90.495978496420946
441.0,978.0200146727733,311.95675464536504
442.0,1350.5964113804862,345.28935577147092
443.0,862.86900266074724,295.29417591532194
444.0,1500.0,500.0
445.0,1454.7272830411946,207.39539034766574
446.0,495.10005599093773,119.65568122379388
447.0,1726.9223807420535,101.64882742490815
448.0,1098.4818517620715,301.21263013308828
449.0,1270.8878129166287,100.32827048401262
450.0,1191.2365229310547,222.66217688190585
451.0,1304.3825949535278,408.59828670849566
452.0,972.58545733228584,328.62212697979572
453.0,960.54616045647731,199.49267845396344
454.0,1924.5536555033311,92.860313172596946
455.0,1312.4927926592309,410.98749723528596
456.0,1309.0913699737432,409.94414751947727
457.0,1209.1143465352093,98.599146518444769
458.0,1087.4300226010955,223.95923315638845
459.0,1583.6830005577115,157.6133186669841
460.0,1354.2195326141596,423.79621932152912
461.0,1500.0,500.0
462.0,1890.6220862193563,288.52499484575173
463.0,504.34863269806209,238.90485714951012
464.0,1058.8279160672507,364.31186085895939
465.0,1178.8966696796106,381.05939521205602
466.0,1114.8421015094218,96.878956643454146
467.0,1059.1153217291935,291.92907380762949
468.0,1310.3060601272739,410.32665758201068
469.0,952.39788479070387,173.22441129093346
470.0,927.40541572629331,213.13910867188036
471.0,1570.5164219410988,454.16375227273011
472.0,895.90934856669855,224.44946387513133
473.0,1537.6383300737009,365.27480704428575
474.0,1171.4884921511209,378.65605500218783
475.0,1510.0788117329394,236.0437322966057
476.0,1712.1513400977776,425.22787012036832
477.0,1345.4500090011672,282.94749968034853
478.0,991.62947610532751,189.38770906727032
479.0,1478.5682919884241,102.30036048622424
480.0,890.55995680388105,154.46111362307681
481.0,1494.0745483405008,88.150744115144903
482.0,1584.5137060411262,94.479971551338764
483.0,1064.1627502335557,173.89509565543463
484.0,1269.2066400926374,162.31924205293612
485.0,1706.7441631437255,387.96837456869611
486.0,1104.3394057805699,210.90788396700586
487.0,989.19028510459179,180.91088545177439
488.0,1316.7867305215893,109.50073188010722
489.0,609.99232119652811,188.48482763504916
490.0,1184.8632154348211,380.95390040554759
491.0,919.44035699681399,266.44491253574432
492.0,907.01821656188815,290.0000042992117
493.0,622.44305875656664,110.18600154773087
494.0,969.5651875918345,263.39224350957682
495.0,997.08781439558152,353.16747832032036
496.0,1048.0462701291488,195.75533036850135
497.0,1645.4681544327982,136.19215975702696
498.0,1509.4174450086502,92.764442646565385
499.0,1262.0632806545761,397.61707827003278
500.0,1057.1283028367084,378.49071775572992
501.0,1688.5646461653696,412.4797527573524
502.0,1220.7776943848967,364.51211340537941
503.0,1078.8758722183211,376.08470510197452
504.0,1509.5555382593268,230.25299238071824
505.0,1495.7090801850281,111.32231609223103
506.0,1508.8820081832578,233.87713471077066
507.0,1023.5989481003668,320.07047485394105
508.0,968.46247170094057,351.85360193845776
509.0,1249.7004836096735,267.1182336920308
510.0,833.15520407286954,307.14615244633723
511.0,949.8199039719716,333.00717058134063
512.0,1131.5359294192044,357.11706674231493
513.0,1306.1721542286889,409.21659982113687
514.0,1310.8482646590594,410.51318422885333
515.0,1367.4088271629143,89.330832814516214
516.0,1780.6592546521554,90.848940160530063
517.0,1348.2948158402767,421.96356167310211
518.0,1042.5573471142484,358.49828678054064
519.0,1957.2591609521241,294.15959107243458
520.0,575.43778089302555,314.38457107252736
521.0,2057.2482175759897,114.44077579618191
522.0,1248.5148617206178,123.21348716569418
523.0,1164.308048194712,153.13664379879683
524.0,1723.9421021568594,213.20529306941236
525.0,1051.1946346869497,132.98346954578793
526.0,617.33653037748252,128.02359819333995
527.0,767.28673818862205,275.36953674525341
528.0,1191.3898761949017,382.30815769319031
529.0,820.59419164549695,283.87302544048822
530.0,1187.0435212491827,156.9853732829495
531.0,584.51776207699834,223.46990174050742
532.0,1407.5848356626516,443.94791998438308
533.0,871.51959275770446,96.671288306738049
534.0,980.25041631425188,212.3190467607559
535.0,1031.7221241252719,321.7831716329199
536.0,1051.8869065392416,150.16285076012468
537.0,1296.0379562335493,428.34630884352549
538.0,1309.6837310055269,96.876505503119006
539.0,1153.1991138410499,377.99122781635401
540.0,1506.6703030297081,238.37348534661226
541.0,1925.8205963688602,362.69154552857492
542.0,2091.9052689207219,121.62561643139564
543.0,1275.9186267806801,401.51542685319396
544.0,1043.2847982629478,303.69136636777239
545.0,1823.2374337649546,140.28000276339972
546.0,1577.2670028469734,89.914291822811464
547.0,812.8782123288189,109.52892316452956
548.0,1243.4217275691726,393.38024139663747
549.0,1293.0041225769792,405.46355892879239
550.0,1280.7344604467078,402.41736577231302
551.0,1161.4740750228029,172.36940760148855
552.0,1019.3030087290424,340.99208063520877
553.0,963.3268000369585,132.30424880145014
554.0,1151.7428044510523,156.62638879698105
555.0,1500.0,500.0
